seed,spec,kind,outcome,output,baseline,exception,mutated_input_b64
349297012,1-bit-flip,bitflip,incorrect,3126,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3MDkw
794957572,1-bit-flip,bitflip,incorrect,3132,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY1ODkw
762938025,1-bit-flip,bitflip,incorrect,3070,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZCF0YSAxMjM0NTY3ODkw
449912919,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
573330498,1-bit-flip,bitflip,incorrect,3070,3134,,SCVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
153335723,1-bit-flip,bitflip,incorrect,42915,3134,,SGVsbG8sIHRoaXMoaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
367517440,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
525727461,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSA1MjM0NTY3ODkw
350904183,1-bit-flip,bitflip,incorrect,3118,3134,,SGVsbG8sIHRoaXMgaXMgYmFjZWxpbmUgZGF0YSAxMjM0NTY3ODkw
992696249,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxrbmUgZGF0YSAxMjM0NTY3ODkw
814874363,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF1YSAxMjM0NTY3ODkw
579708537,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8oIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
471619987,1-bit-flip,bitflip,incorrect,3150,3134,,SGVsbG8sIHRoaXMgeXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
696391871,1-bit-flip,bitflip,incorrect,3126,3134,,SGVsbG8sIHRoaXMgYXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
120125830,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
491876988,1-bit-flip,bitflip,incorrect,43483,3134,,SGVsbG9sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
68934737,1-bit-flip,bitflip,incorrect,43483,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjN0NTY3ODkw
677430270,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRIaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
861494829,1-bit-flip,bitflip,incorrect,42915,3134,,SGVsbG8sIHxoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
574969167,1-bit-flip,bitflip,incorrect,3150,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgdGF0YSAxMjM0NTY3ODkw
142138944,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZWF0YSAxMjM0NTY3ODkw
453082198,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHVoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
675765611,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
456612023,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3PDkw
1072090968,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3PDkw
849613032,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8sIHRoaXMgaXMgYmFzYWxpbmUgZGF0YSAxMjM0NTY3ODkw
985376852,1-bit-flip,bitflip,incorrect,3118,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3OCkw
306814401,1-bit-flip,bitflip,incorrect,3118,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3KDkw
568825839,1-bit-flip,bitflip,incorrect,43483,3134,,SGVsbG8sIHRoaXMgaXNgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
299853838,1-bit-flip,bitflip,incorrect,3126,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3MDkw
529628540,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRoaVMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
564233310,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMiaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
920054627,1-bit-flip,bitflip,incorrect,3142,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSgxMjM0NTY3ODkw
857706059,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3Ojkw
777381451,1-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODk0
470987740,1-bit-flip,bitflip,incorrect,42915,3134,,SGVsbG8sIHxoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
297065154,1-bit-flip,bitflip,incorrect,3102,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgRGF0YSAxMjM0NTY3ODkw
1059817199,1-bit-flip,bitflip,incorrect,3142,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUoZGF0YSAxMjM0NTY3ODkw
195226476,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF1YSAxMjM0NTY3ODkw
101181642,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
235469722,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZmF0YSAxMjM0NTY3ODkw
328224239,1-bit-flip,bitflip,incorrect,3150,3134,,SGVsbG8sIHRoaXMgeXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
343558720,1-bit-flip,bitflip,incorrect,3118,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTYnODkw
906581620,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
136424712,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8oIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
826281506,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmEgZGF0YSAxMjM0NTY3ODkw
819521169,2-bit-flip,bitflip,incorrect,3119,3134,,SGVsbG8tIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0JTY3ODkw
1005129473,2-bit-flip,bitflip,incorrect,776,3134,,SGVsbG8sIHRoaXMgaXsgYmFzZWxpbmUgZGF0aSAxMjM0NTY3ODkw
539907702,2-bit-flip,bitflip,incorrect,3086,3134,,SGVsbG8sIHRoeXMgaXMgYmEzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
24655304,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
245997989,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
573002724,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
730521271,2-bit-flip,bitflip,incorrect,3146,3134,,SGVsbG8sIHRoaXMgbXMgYmFzZWxpbmUgZGF0YSA5MjM0NTY3ODkw
239556468,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
630286724,2-bit-flip,bitflip,incorrect,3100,3134,,SGVMbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMDM0NTY3ODkw
933651277,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
339641189,2-bit-flip,bitflip,incorrect,3054,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZCF0YSAxMjM0NTYnODkw
974364241,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
6969260,2-bit-flip,bitflip,incorrect,3138,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGl0YSAxMjMwNTY3ODkw
565623665,2-bit-flip,bitflip,incorrect,3137,3134,,SGVsbG8sIHRoaXMgaXMgY2FzZWxpbmUgZGF0YSAxMjM0NTY3Ojkw
383651994,2-bit-flip,bitflip,incorrect,3151,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUwZGF0YSAxMjM0NTc3ODkw
228515502,2-bit-flip,bitflip,incorrect,3069,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZSxobmUgZGF0YSAxMjM0NTY3ODkw
640905300,2-bit-flip,bitflip,incorrect,3149,3134,,SGVsbG8sIHRoaXMgaXMgcmFzZWxpbmUgZGF0YSAxMjI0NTY3ODkw
427158340,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
328219838,2-bit-flip,bitflip,incorrect,3104,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmcgZGFUYSAxMjM0NTY3ODkw
802973878,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
346923914,2-bit-flip,bitflip,incorrect,42979,3134,,SGVsbG8sKHRoaXMgaXMgYmFzZWxpbmVgZGF0YSAxMjM0NTY3ODkw
1228136,2-bit-flip,bitflip,pass,3134,3134,,
696119837,2-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
1049272770,2-bit-flip,bitflip,incorrect,3119,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZW1pbmUgZGFkYSAxMjM0NTY3ODkw
